speaker,start_time,end_time,text
MATT,00:24:30,00:24:31,Not dwarven.
LIAM,00:24:31,00:24:33,A man. Human.
MATT,00:24:33,00:24:54,"Kord is essentially a deity of warfare, combat, and storms. A god that has been long-worshipped by tribal cultures from long past that enjoyed the essence of battle and challenge and combat."
LIAM,00:24:54,00:24:58,"Did you say storms, Tiberius? War and combat and storms?"
ORION,00:24:58,00:25:04,"Storms, yes. Storms and winds."
MATT,00:25:04,00:25:14,"And quickly, the motif of this section of the town comes into play. This, you assume, is the portion of the city that is dedicated to the temple of Kord, this being the structure before you."
MARISHA,00:25:14,00:25:21,Does it seem to be a central theme across the whole town? This town worships Kord?
MATT,00:25:21,00:25:34,"No. You've only really been to two sections. The first one you were brought to was primarily under the worship of Bahamut, the Platinum Dragon."
MARISHA,00:25:34,00:25:37,Okay. (giggles)
TALIESIN,00:25:37,00:25:40,Getting the giggles out.
TRAVIS,00:25:40,00:25:46,Did you look at it? Did you use your fancy eyes to look at it?
TALIESIN,00:25:46,00:25:59,"Well, my question is, is this a temple? If it is a temple to Kord, is this a place of battle? Is this somewhere where people go watch battles and fighting?"
MATT,00:25:59,00:26:15,"From the exterior, and it is a closed-off temple, it looks like a large, blocky, obstinate fortress that is nearly impenetrable from the way it's constructed and reinforced. You don't know what's inside of it."
LIAM,00:26:15,00:26:17,There's a big gate or door at the front?
MATT,00:26:17,00:26:23,Two large iron doors about 20 feet tall that are currently shut. It's about five or six steps getting up to it.
LAURA,00:26:23,00:26:24,And it's nighttime?
MATT,00:26:24,00:26:25,"It is nighttime currently, yes."
LIAM,00:26:25,00:26:31,"Are there any citizens out right now, or are we alone in the dark?"
MATT,00:26:31,00:26:39,"As it has gotten to dusk, it's thinned out a little bit, but there are a few individuals walking by, carrying pickaxes over one shoulder and passing by."
LIAM,00:26:39,00:26:43,I'd like to walk over to the nearest one and ask.
SAM,00:26:43,00:26:44,To who?
LIAM,00:26:44,00:26:47,To a passerby.
MATT,00:26:47,00:27:04,"The two gentlemen, one's in his mid-20s. The one that turns to you initially probably looks a little older than that. Late 30s, grizzled. Shaven, but the five-o'clock shadow has definitely kicked in. Longer, tousled hair, dirt on the face. Simple clothing, pickaxe over his shoulder and what looks like a leather belt that carries other tools."
SAM,00:27:04,00:27:05,These are dwarves?
MATT,00:27:05,00:27:09,"These are human. ""Yes? I heard you calling."""
LIAM,00:27:09,00:27:23,"Excuse me, good sir. My friend over here, the dragonborn. He seems to think that this is some sort of temple or edifice to the god Kord. I just want to know, is he correct?"
MATT,00:27:23,00:27:26,"""Is this your first time in the Braving Grounds?"""
ORION,00:27:26,00:27:28,"In Dwarvish, I say--"
SAM,00:27:28,00:27:29,They're not dwarves.
MATT,00:27:29,00:27:32,"You can still say it, though. (laughter)"
LIAM,00:27:32,00:27:44,"Yes, absolutely! This is our first time. We literally just rolled into Vasselheim. What can you tell us of this? It's an impressive structure."
MATT,00:27:44,00:28:08,"The younger gentleman next to him, similarly dressed, begins to speak up. He puts his hand up and goes, ""The Braving Grounds is the area of this city that is built around the worship of the great god Kord. His protection and strength he bestows upon those who live for the sake of challenge. To prove oneself better with each passing day, that is the basis of the Braving Grounds."""
LAURA,00:28:08,00:28:12,So it's like a battleground?
MATT,00:28:12,00:28:33,"""It's a community that when called to battle can definitely defend itself. What you see before you--"" He looks up at the giant structure. ""This is called the Trial Forge. It is the oldest known temple to Kord and has been built and rebuilt for many, many hundreds of years."""
ORION,00:28:33,00:28:35,"(chuckles) Hence forge, right?"
LIAM,00:28:35,00:28:44,And does one need to be a priest or cleric of this faith to challenge oneself? Or can anyone--
TRAVIS,00:28:44,00:28:45,Worship?
MATT,00:28:45,00:28:56,"""Anyone is able to worship what deity they wish in this town. We have an understanding. If you're looking for a tussle, what you're looking for is the Crucible."""
TRAVIS,00:28:56,00:29:01,Yes. What else can you tell us about this Crucible?
MATT,00:29:01,00:29:21,"""The Crucible is a fighting pit. I mean, there is a sacred arena within the temple, but that's reserved for very, very special occasions. If you're looking to just get your fight on and punch someone in the face, the Crucible is what you're looking for."" He spits off to the side and points a little ways down the roadway."
MARISHA,00:29:21,00:29:23,I think Grog wants to go.
MATT,00:29:23,00:29:28,"""Beyond that way, you'll see a tavern known as the Bellows' Respite."""
